strTemplateName,strNameResource,XJDFDescriptiveName,XJDFMediaType,XJDFWidth,XJDFLength,XJDFDimensionsUnit,numPricePerThousand
15PT C1S Cover Tango,15PT C1S Cover Tango,15PT C1S Cover Tango,Paper,23,29,in,313.3482
15PT C1S Cover Tango,15PT C1S Cover Tango,15PT C1S Cover Tango,Paper,25,38,in,445.9686
16pt C1S Cover,16pt C1S Cover,16pt C1S Cover,Paper,12,18,in,137.112
16pt C1S Cover,16pt C1S Cover,16pt C1S Cover,Paper,13,19,in,156.024
,16pt C2S,16pt C2S,Paper,8.5,11,in,70
16pt C2S Cover,16pt C2S Cover,16pt C2S Cover,Paper,19,25,in,302.592
16pt C2S Cover,16pt C2S Cover,16pt C2S Cover,Paper,23,35,in,511.806
16pt C2S Cover,16pt C2S Cover,16pt C2S Cover,Paper,28,40,in,713.928
16pt C2S Cover,16pt C2S Cover,16pt C2S Cover,Paper,13,19,in,193.848
16pt C2S Cover,16pt C2S Cover,16pt C2S Cover,Paper,12,18,in,169.026
16pt C2S Cover,16pt C2S Cover,16pt C2S Cover,Paper,25,38,in,605.184
16pt C2S Cover,16pt C2S Cover,16pt C2S Cover,Paper,26,40,in,663.102
18pt C1S Cover,18pt C1S Cover,18pt C1S Cover,Paper,23,35,in,360
18pt C1S Cover,18pt C1S Cover,18pt C1S Cover,Paper,20,26,in,220
,18PT Clay Coated News Back (10K + Sheets),18PT Clay Coated News Back (10K + Sheets),Paper,27,30,in,308.1474
,18PT Clay Coated News Back (50K + Sheets),18PT Clay Coated News Back (50K + Sheets),Paper,27,30,in,284.7438
20# Bond/50# Offset,20# Bond/50# Offset,20# Bond/50# Offset,Paper,19,25,in,50.826
20# Bond/50# Offset,20# Bond/50# Offset,20# Bond/50# Offset,Paper,8.5,11,in,13.002
20# Bond/50# Offset,20# Bond/50# Offset,20# Bond/50# Offset,Paper,28,40,in,128.838
20# Bond/50# Offset,20# Bond/50# Offset,20# Bond/50# Offset,Paper,12,18,in,33.096
20# Bond/50# Offset,20# Bond/50# Offset,20# Bond/50# Offset,Paper,25,38,in,100.47
20# Bond/50# Offset,20# Bond/50# Offset,20# Bond/50# Offset,Paper,23,29,in,69.738
20# Bond/50# Offset,20# Bond/50# Offset,20# Bond/50# Offset,Paper,23,35,in,86.286
20# Bond/50# Offset,20# Bond/50# Offset,20# Bond/50# Offset,Paper,11,17,in,26.004
20# COLORED Bond,20# COLORED Bond,20# COLORED Bond,Paper,8.5,11,in,35.46
,20# Legal Size Bond,20# Legal Size Bond,Paper,8.5,14,in,15
,20PT C1S,20PT C1S,Paper,20,28,in,287.226
,20pt C1S Spectro,20pt C1S Spectro,Paper,23,29,in,477
,24# 25% Cotton Writing,24# 25% Cotton Writing,Paper,35,23,in,290
,24# Booklet Envelopes,24# Booklet Envelopes,Paper,9.5,12.5,in,100.47
,24# Classic Columns,24# Classic Columns,Paper,8.5,11,in,82.74
,24# Classic Crest,24# Classic Crest,Paper,8.5,11,in,70.92
,24# Classic Laid Baronial Ivory,24# Classic Laid Baronial Ivory,Paper,8.5,11,in,48.1074
,24# Strathmore Writing,24# Strathmore Writing,Paper,8.5,11,in,75.47661
,24# Via Linen,24# Via Linen,Paper,8.5,11,in,59
,24# Via Writing,24# Via Writing,Paper,8.5,11,in,59.1
,24# Via Writing cut from 8up,24# Via Writing cut from 8up,Paper,8.75,11.5,in,59.1
,24# Via Writing cut to 4up 11.5x17.5,24# Via Writing cut to 4up 11.5x17.5,Paper,11.5,17.5,in,118.2
,24PT C2S Cover,24PT C2S Cover,Paper,23,35,in,622
,28# Booklet Envelopes,28# Booklet Envelopes,Paper,9.5,12.5,in,106.38
28# Color Copy,28# Color Copy,28# Color Copy,Paper,8.5,11,in,23.64
28# Color Copy,28# Color Copy,28# Color Copy,Paper,11,17,in,49.644
28# Color Copy,28# Color Copy,28# Color Copy,Paper,12,18,in,55.554
28# Color Copy,28# Color Copy,28# Color Copy,Paper,13,19,in,63.828
28# Color Copy,28# Color Copy,28# Color Copy,Paper,8.5,14,in,47.28
,32# (120gsm) Archival White Paper,32# (120gsm) Archival White Paper,Paper,13,19,in,250
32# Color Copy,32# Color Copy,32# Color Copy,Paper,8.5,11,in,27.186
32# Color Copy,32# Color Copy,32# Color Copy,Paper,11,17,in,54.372
32# Color Copy,32# Color Copy,32# Color Copy,Paper,12,18,in,63.828
32# Color Copy,32# Color Copy,32# Color Copy,Paper,13,19,in,69.738
,36# UV Ultra Radiant White,36# UV Ultra Radiant White,Paper,12,18,in,2021.22
48# Glama Natural,48# Glama Natural,48# Glama Natural,Paper,25,38,in,1120
48# Glama Natural,48# Glama Natural,48# Glama Natural,Paper,12,18,in,280
,48# Reich Clear Cover,48# Reich Clear Cover,Paper,12,18,in,300
,60# Coated Text,60# Coated Text,Paper,23,35,in,112.29
60# COLORED Bond,60# COLORED Bond,60# COLORED Bond,Paper,11,17,in,35.46
60# COLORED Offset,60# COLORED Offset,60# COLORED Offset,Paper,11,17,in,47.28
60# Colored Paper,60# Colored Paper,60# Colored Paper,Paper,25,38,in,273.042
,60# Gloss Label LL44500,60# Gloss Label LL44500,Paper,12,18,in,465
,60# High Gloss White Label,60# High Gloss White Label,Paper,12,18,in,343.75
,60# Natural - 8.5 x 11,60# Natural - 8.5 x 11,Paper,8.5,11,in,18.912
,60# Natural Text,60# Natural Text,Paper,12,18,in,59.1
,60# Neon Colors,60# Neon Colors,Paper,8.5,14,in,29.99
,60# Neon Paper,60# Neon Paper,Paper,8.5,11,in,26.78412
,60# Semi Gloss Label Stock,60# Semi Gloss Label Stock,Paper,12,18,in,460.1554
,60# Semi Gloss White Label,60# Semi Gloss White Label,Paper,26,20,in,1440
,60# Ultra Matte Label Stock,60# Ultra Matte Label Stock,Paper,12,18,in,460.8055
60# Uncoated Text,60# Uncoated Text,60# Uncoated Text,Paper,11,17,in,33.096
60# Uncoated Text,60# Uncoated Text,60# Uncoated Text,Paper,12,18,in,36.642
60# Uncoated Text,60# Uncoated Text,60# Uncoated Text,Paper,13,19,in,38
60# Uncoated Text,60# Uncoated Text,60# Uncoated Text,Paper,19,25,in,60.282
60# Uncoated Text,60# Uncoated Text,60# Uncoated Text,Paper,23,29,in,82.74
60# Uncoated Text,60# Uncoated Text,60# Uncoated Text,Paper,23,35,in,99.288
60# Uncoated Text,60# Uncoated Text,60# Uncoated Text,Paper,25,38,in,118.2
60# Uncoated Text,60# Uncoated Text,60# Uncoated Text,Paper,28,40,in,138.294
60# Uncoated Text,60# Uncoated Text,60# Uncoated Text,Paper,8.5,11,in,15.366
,65# Accent Opaque Smooth Cover 8.8pt,65# Accent Opaque Smooth Cover 8.8pt,Paper,12,18,in,115.26273
65# Astrobright Cover,65# Astrobright Cover,65# Astrobright Cover,Paper,8.5,11,in,59.1
65# Astrobright Cover,65# Astrobright Cover,65# Astrobright Cover,Paper,11,17,in,106.38
65# Uncoated Cover,65# Uncoated Cover,65# Uncoated Cover,Paper,11,17,in,59
65# Uncoated Cover,65# Uncoated Cover,65# Uncoated Cover,Paper,8.5,11,in,29
,65# Vellum Cover,65# Vellum Cover,Paper,26,40,in,319.14
,67# Bristol,67# Bristol,Paper,23,35,in,212.76
67# Bristol Cover,67# Bristol Cover,67# Bristol Cover,Paper,12,18,in,57.46884
67# Bristol Cover,67# Bristol Cover,67# Bristol Cover,Paper,13,19,in,124.3
67# Bristol Cover,67# Bristol Cover,67# Bristol Cover,Paper,11,17,in,57.46884
67# Colored Bristol,67# Colored Bristol,67# Colored Bristol,Paper,8.5,11,in,29
67# Colored Bristol,67# Colored Bristol,67# Colored Bristol,Paper,26,40,in,283.68
67# Colored Bristol,67# Colored Bristol,67# Colored Bristol,Paper,11,17,in,70.92
67# Colored Bristol,67# Colored Bristol,67# Colored Bristol,Paper,12,18,in,76.83
,67# White Bristol,67# White Bristol,Paper,26,40,in,271.86
,67# White Bristol Cover,67# White Bristol Cover,Paper,20,26,in,140
,70# Finch Fine Text,70# Finch Fine Text,Paper,13,19,in,57
70# Gloss Text,70# Gloss Text,70# Gloss Text,Paper,28,40,in,141.84
70# Gloss Text,70# Gloss Text,70# Gloss Text,Paper,23,35,in,106.38
70# Gloss Text,70# Gloss Text,70# Gloss Text,Paper,24,36,in,118.2
70# Gloss Text,70# Gloss Text,70# Gloss Text,Paper,25,38,in,141.84
,70# Linen Text,70# Linen Text,Paper,11,17,in,83.915
70# Mohawk Superfine Ultra White,70# Mohawk Superfine Ultra White,70# Mohawk Superfine Ultra White,Paper,35,23,in,590
70# Mohawk Superfine Ultra White,70# Mohawk Superfine Ultra White,70# Mohawk Superfine Ultra White,Paper,11.5,17.5,in,149
,70# Natural Text,70# Natural Text,Paper,11,17,in,38
,70# Roland 30% Cut,70# Roland 30% Cut,Paper,9,12,in,25
,70# Roland 30% Recycled,70# Roland 30% Recycled,Paper,12,18,in,49
,70# Rolland 30% Recycled,70# Rolland 30% Recycled,Paper,25,38,in,185
70# Royal Sundance BW Linen,70# Royal Sundance BW Linen,70# Royal Sundance BW Linen,Paper,23,35,in,345.144
70# Royal Sundance BW Linen,70# Royal Sundance BW Linen,70# Royal Sundance BW Linen,Paper,25,38,in,406.608
,70# Silk Text,70# Silk Text,Paper,24,36,in,130.02
70# Uncoated Text,70# Uncoated Text,70# Uncoated Text,Paper,9,12,in,21.276
70# Uncoated Text,70# Uncoated Text,70# Uncoated Text,Paper,19,25,in,68.556
70# Uncoated Text,70# Uncoated Text,70# Uncoated Text,Paper,23,29,in,95.742
70# Uncoated Text,70# Uncoated Text,70# Uncoated Text,Paper,13,19,in,43
70# Uncoated Text,70# Uncoated Text,70# Uncoated Text,Paper,12,18,in,42.552
70# Uncoated Text,70# Uncoated Text,70# Uncoated Text,Paper,11,17,in,46.098
70# Uncoated Text,70# Uncoated Text,70# Uncoated Text,Paper,8.5,11,in,17.73
70# Uncoated Text,70# Uncoated Text,70# Uncoated Text,Paper,23,35,in,117.018
70# Uncoated Text,70# Uncoated Text,70# Uncoated Text,Paper,25,38,in,137.112
70# Uncoated Text,70# Uncoated Text,70# Uncoated Text,Paper,28,40,in,164.298
80# Beckett Blazer Blue Linen Cover,80# Beckett Blazer Blue Linen Cover,80# Beckett Blazer Blue Linen Cover,Paper,13,19,in,390
80# Beckett Blazer Blue Linen Cover,80# Beckett Blazer Blue Linen Cover,80# Beckett Blazer Blue Linen Cover,Paper,26,40,in,1418.4
,80# Carnival Ivory Linen,80# Carnival Ivory Linen,Paper,35,23,in,815.58
,80# Classic Laid ABW Cover,80# Classic Laid ABW Cover,Paper,8.5,11,in,118.2
80# Classic Laid Baronial Ivory Cover,80# Classic Laid Baronial Ivory Cover,80# Classic Laid Baronial Ivory Cover,Paper,11,17,in,248.22
80# Classic Laid Baronial Ivory Cover,80# Classic Laid Baronial Ivory Cover,80# Classic Laid Baronial Ivory Cover,Paper,8.5,11,in,118.2
,80# Classic Laid Ivory Cover,80# Classic Laid Ivory Cover,Paper,23,35,in,981.06
80# Dull Cover,80# Dull Cover,80# Dull Cover,Paper,12,18,in,106.38
80# Dull Cover,80# Dull Cover,80# Dull Cover,Paper,13,19,in,91
80# Dull Text,80# Dull Text,80# Dull Text,Paper,13,19,in,51
80# Dull Text,80# Dull Text,80# Dull Text,Paper,25,38,in,157
80# Dull Text,80# Dull Text,80# Dull Text,Paper,24,36,in,139
80# Gloss Cover,80# Gloss Cover,80# Gloss Cover,Paper,12,18,in,92.196
80# Gloss Cover,80# Gloss Cover,80# Gloss Cover,Paper,13,19,in,105.198
80# Gloss Cover,80# Gloss Cover,80# Gloss Cover,Paper,28,40,in,326.232
80# Gloss Cover,80# Gloss Cover,80# Gloss Cover,Paper,26,40,in,302.592
80# Gloss Cover,80# Gloss Cover,80# Gloss Cover,Paper,24,36,in,251.766
80# Gloss Cover,80# Gloss Cover,80# Gloss Cover,Paper,25,38,in,276.588
80# Gloss Cover,80# Gloss Cover,80# Gloss Cover,Paper,23,35,in,235.218
80# Gloss Cover,80# Gloss Cover,80# Gloss Cover,Paper,23,29,in,193.848
80# Gloss Cover,80# Gloss Cover,80# Gloss Cover,Paper,20,26,in,152.478
80# Gloss Cover,80# Gloss Cover,80# Gloss Cover,Paper,19,25,in,139.476
80# Gloss Text,80# Gloss Text,80# Gloss Text,Paper,28,40,in,171.6264
80# Gloss Text,80# Gloss Text,80# Gloss Text,Paper,25,38,in,145.386
80# Gloss Text,80# Gloss Text,80# Gloss Text,Paper,24,36,in,132.384
80# Gloss Text,80# Gloss Text,80# Gloss Text,Paper,12,18,in,43.734
80# Gloss Text,80# Gloss Text,80# Gloss Text,Paper,23,35,in,124.11
80# Gloss Text,80# Gloss Text,80# Gloss Text,Paper,23,29,in,102.834
80# Gloss Text,80# Gloss Text,80# Gloss Text,Paper,19,25,in,73.284
80# Gloss Text,80# Gloss Text,80# Gloss Text,Paper,13,19,in,50.826
,80# Linen Cover,80# Linen Cover,Paper,35,23,in,815.58
80# Natural Cover,80# Natural Cover,80# Natural Cover,Paper,11,17,in,106.38
