strTemplateName|strAliasTemplate|strNameResource|XJDFDescriptiveName|XJDFMediaType|XJDFWidth|XJDFLength|XJDFDimensionsUnit|XJDFWeight|XJDFMediaColorName|XJDFTexture|XJDFThickness|XJDFThicknessUnit|numPriceTemplateOrResourcePerThousand
||80# Classic Laid Cover - Baronial Ivory|80# Classic Laid Cover - Baronial Ivory|Paper|8.5|11|in|28.76|Baronial Ivory|Laid|0.013|point|82.2
||80# Classic Laid Cover - Classic Natural White|80# Classic Laid Cover - Classic Natural White|Paper|8.5|11|in|28.76|Classic Natural White|Laid|0.013|point|82.4
24# Classic Laid Writing|H|||Paper|8.5|11|in|12||Imaging|0.005|point|34
||24# Classic Laid Writing - Classic Natural White|24# Classic Laid Writing - Classic Natural White|{H}|{H}|{H}|{H}|{H}|Classic Natural White|{H}|{H}|{H}|33.5
||24# Classic Laid Writing - Baronial Ivory|24# Classic Laid Writing - Baronial Ivory|{H}|{H}|{H}|{H}|{H}|Baronial Ivory|{H}|{H}|{H}|{H}
||24# Classic Laid Writing - Antique Gray|24# Classic Laid Writing - Antique Gray|{H}|{H}|{H}|{H}|{H}|Antique Gray|{H}|{H}|{H}|{H}
||24# Classic Laid Writing - Solar White|24# Classic Laid Writing - Solar White|{H}|{H}|{H}|{H}|{H}|Solar White|{H}|{H}|{H}|{H}
||80# Classic Linen Cover - Classic Natural White|80# Classic Linen Cover - Classic Natural White|Paper|8.5|11|in|28.76|Classic Natural White|Linen|0.01|point|84.5
||80# Classic Linen Cover - Solar White|80# Classic Linen Cover - Solar White|Paper|8.5|11|in|28.76|Solar White|Linen|0.01|point|85.6
||80# Classic Linen Digital Cover|80# Classic Linen Digital Cover|Paper|18|12|in|66.46|Solar White|Linen|0.01|point|207.7
||100# Classic Linen Digital Cover|100# Classic Linen Digital Cover|Paper|18|12|in|83.06|Antique Gray|Linen|0.012|point|259.55
24# Classic Linen Writing|I|||Paper|8.5|11|in|12||Linen|0.004|point|37.1
||24# Classic Linen Writing - Classic Natural White|24# Classic Linen Writing - Classic Natural White|{I}|{I}|{I}|{I}|{I}|Classic Natural White|{I}|{I}|{I}|36.6
||24# Classic Linen Writing - Antique Gray|24# Classic Linen Writing - Antique Gray|{I}|{I}|{I}|{I}|{I}|Antique Gray|{I}|{I}|{I}|{I}
||24# Classic Linen Writing - Baronial Ivory|24# Classic Linen Writing - Baronial Ivory|{I}|{I}|{I}|{I}|{I}|Baronial Ivory|{I}|{I}|{I}|{I}
