strTemplateName|strNameResource|XJDFDescriptiveName|XJDFMediaColorName|XJDFMediaType|XJDFStockType|XJDFWeight|XJDFWidth|XJDFLength|XJDFDimensionsUnit|boolPriceTemplate|numPriceTemplateOrResourcePerThousand
|2 Part Reverse|2 Part Reverse||Paper|||8.5|14|in||43.63
|3 Part Reverse|3 Part Reverse||Paper|||8.5|14|in||52.12
|2 Part Reverse|2 Part Reverse||Paper|||11|17|in||67.5
|20# CF Canary|20# CF Canary||Paper|||11|17|in||47.22
|20# CF Pink|20# CF Pink||Paper|||11|17|in||47.22
|20# CF White|20# CF White||Paper|||11|17|in||47.22
|20# CB White|20# CB White||Paper|||11|17|in||60.4
|20# CFB Canary|20# CFB Canary||Paper|||11|17|in||73.29
|20# CFB White|20# CFB White||Paper|||11|17|in||73.29
|3 Part Reverse|3 Part Reverse||Paper|||11|17|in||85.5
|4 Part Reverse|4 Part Reverse||Paper|||11|17|in||77.19
|5 Part Reverse|5 Part Reverse||Paper|||11|17|in||77.19
|CB White|CB White||Paper|||22.5|34.5|in||252.98
|CFB Canary|CFB Canary||Paper|||22.5|34.5|in||309.7
|Manilla Tag CF|Manilla Tag CF||Paper|||22.5|34.5|in||584.87
|White Tag CF|White Tag CF||Paper|||22.5|34.5|in||584.87
|123-2 Civista DDA Statement Paper|123-2 Civista DDA Statement Paper||Paper|||8.5|11|in||
|4 Bank Copy Tabs|4 Bank Copy Tabs||Paper|||8.5|11|in||115
|Fluorescent Label|Fluorescent Label||Paper|||8.5|11|in||175
|4x3 Laser Labels|4x3 Laser Labels||Paper|||8.5|11|in||170
|4x3 Western States Laser Labels|4x3 Western States Laser Labels||Paper|||8.5|11|in||281.6
|4x2 Laser Labels|4x2 Laser Labels||Paper|||8.5|11|in||275
|1 x 3 Laser Labels|1 x 3 Laser Labels||Paper|||8.5|11|in||330
|4 x 3.33 Laser Labels|4 x 3.33 Laser Labels||Paper|||8.5|11|in||330
|3.5 x 2 Laser Labels|3.5 x 2 Laser Labels||Paper|||8.5|11|in||330
|3.33 Circle Laser Labels|3.33 Circle Laser Labels||Paper|||8.5|11|in||200
|1.5 Circle Laser Labels|1.5 Circle Laser Labels||Paper|||8.5|11|in||200
|2.5 Circle Laser Labels|2.5 Circle Laser Labels||Paper|||8.5|11|in||200
|.5 x 1.75 80-UP Laser Labels|.5 x 1.75 80-UP Laser Labels||Paper|||8.5|11|in||393.8
|1 x 2.625 30-UP Laser Labels|1 x 2.625 30-UP Laser Labels||Paper|||8.5|11|in||393.8
|DesignSecure Basketweave Tan 24#|DesignSecure Basketweave Tan 24#||Paper|||8.5|11|in||80
|RX Invalid Paper - Blue|RX Invalid Paper - Blue|Blue|Paper|||8.5|11|in||47.15
|RX Invalid Paper - Green|RX Invalid Paper - Green|Green|Paper|||8.5|11|in||47.15
|Binding Cover - Black|Binding Cover - Black|Black|Paper|||8.5|11|in||390.5
|Binding Cover - Clear|Binding Cover - Clear|Clear|Paper|||8.5|11|in||168.6
|Image Clip Laser Light|Image Clip Laser Light||Paper|||11|17|in||1500
|Integrated Cards|Integrated Cards||Paper|||8.5|11|in||840
|Kan't Kopy Security Paper|Kan't Kopy Security Paper||Paper|||11|17|in||520
|Kan't Kopy Security Paper - Cover|Kan't Kopy Security Paper - Cover||Paper|||18|23|in||784
|24pt Chip Board|24pt Chip Board||Paper|||11|17|in||60.2
|Matte Litho Opaque Label|Matte Litho Opaque Label||Paper|||12|18|in||361.5
|10mil Synaps|10mil Synaps||Paper|||12|18|in||954.38
|14mil DigiMag Plus|14mil DigiMag Plus||Paper|||12|18|in||1500
|14mil Synaps|14mil Synaps||Paper|||12|18|in||1256.14
|5mil Thermanent|5mil Thermanent||Paper|||12|18|in||920.05
|8mil Synaps|8mil Synaps||Paper|||12|18|in||689.95
|3.4 Mil White Flex Vinyl|3.4 Mil White Flex Vinyl||Paper|||12|18|in||720.1
|60lb Dry Gum C1S|60lb Dry Gum C1S||Paper|||25|20|in||330
|Metro High Gloss Label|Metro High Gloss Label||Paper|||12|18|in||283.5
|105# Gold Smooth Stardream Digital|105# Gold Smooth Stardream Digital||Paper|||13|19|in||684.72
|105# Pearlized Silver Smooth|105# Pearlized Silver Smooth||Paper|||12|18|in||552
|84# Flash Cover|84# Flash Cover||Paper|||12|18|in||330
|Kant Kopy - 60lb|Kant Kopy - 60lb||Paper|||12|18|in||210
|Metro Offset Label|Metro Offset Label||Paper|||12|18|in||248
|28# Curious Translucent|28# Curious Translucent||Paper|||12|18|in||100
|48# Glama Translucent|48# Glama Translucent||Paper|||12|18|in||364.05
|Diamond Print Glitter - white card stock (15 pt)|Diamond Print Glitter - white card stock (15 pt)||Paper|||13|19|in||800
|Diamond Print Glitter - white paper stock|Diamond Print Glitter - white paper stock||Paper|||13|19|in||725
|Starwhite Flash Pearl Cover (ivory)|Starwhite Flash Pearl Cover (ivory)||Paper|||26|40|in||1500
|Starwhite Fash Pearl Text|Starwhite Fash Pearl Text||Paper|||12|18|in||158.64
|Starwhite Fash White Text|Starwhite Fash White Text||Paper|||12|18|in||158.64
|White Ultra Cling Adhesive|White Ultra Cling Adhesive||Paper|||12|18|in||1070
|Spinnaker White Ultra Removable|Spinnaker White Ultra Removable||Paper|||13|19|in||1240
|18pt SBS|18pt SBS||Paper|||17|11|in||1
|20pt SBS|20pt SBS||Paper|||19|13|in||1
|22pt Chip Board|22pt Chip Board||Paper|||22.5|34.5|in||281
|40pt Chip Board|40pt Chip Board||Paper|||26|38|in||454
|150lb Manilla Tag|150lb Manilla Tag||Paper|||24|36|in||477
|150lb White Tag|150lb White Tag||Paper|||24|36|in||477
|Starwhite Flash White Cover|Starwhite Flash White Cover||Paper|||26|40|in||1610
|A2 Envelope for Panel folder note card - White|A2 Envelope for Panel folder note card - White||Paper|||4.375|5.75|in||48.17
|A2 Panel Card|A2 Panel Card||Paper|||4.25|5.5|in||62.75
|A2 Panel folder note card - White|A2 Panel folder note card - White||Paper|||4.25|5.5|in||84.08
|Regular White 24#|Regular White 24#||Paper|||4.125|9.5|in||17.83
|Regular Security Tint 24#|Regular Security Tint 24#||Paper|||4.125|9.5|in||24.2
|Regular Kwik-Tac 24#|Regular Kwik-Tac 24#||Paper|||4.125|9.5|in||56.62
|Regular Kwik-Tac Secure Tint 24#|Regular Kwik-Tac Secure Tint 24#||Paper|||4.125|9.5|in||60.64
|Regular Pres-Stik 24#|Regular Pres-Stik 24#||Paper|||4.125|9.5|in||52.87
|Thumb Cut Regular 24#|Thumb Cut Regular 24#||Paper|||4.125|9.5|in||100.67
|Regular 60# Ivory Vellum|Regular 60# Ivory Vellum||Paper|||4.125|9.5|in||48.94
|Regular PRISM Gray 24#|Regular PRISM Gray 24#|Prism Gray|Paper|||4.125|9.5|in||38.38
|Regular STARBURST Yellow 24#|Regular STARBURST Yellow 24#|Starburst Yellow|Paper|||4.125|9.5|in||52.27
|Antique Linen - Gray (Western) 24#|Antique Linen - Gray (Western) 24#|Gray|Paper|||4.125|9.5|in||68.41
|Antique Linen - Natural 24#|Antique Linen - Natural 24#||Paper|||4.125|9.5|in||71.15
|70# Warm White Smooth Via - sold only in 2,500|70# Warm White Smooth Via - sold only in 2,500||Paper|||4.125|9.5|in||101
|Strathmore Soft White (sold only in 2,500 incr|Strathmore Soft White (sold only in 2,500 incr||Paper|||4.125|9.5|in||133.05
|Antique Linen - White (Western) 24#|Antique Linen - White (Western) 24#||Paper|||4.125|9.5|in||71.15
|Capitol Bond 24#|Capitol Bond 24#||Paper|||4.125|9.5|in||64.1
|Classic Crest - Antique Gray 24#|Classic Crest - Antique Gray 24#|Antique Gray|Paper|||4.125|9.5|in||115.33
|Classic Linen Natural White 24#|Classic Linen Natural White 24#|Natural White|Paper|||4.125|9.5|in||116
|Laid - Soft Gray (Western) 24#|Laid - Soft Gray (Western) 24#|Soft Gray|Paper|||4.125|9.5|in||65.94
|Laid - Soft Ivory (Western) 24#|Laid - Soft Ivory (Western) 24#|Soft Ivory|Paper|||4.125|9.5|in||65.94
|Royal Sundance - White Fiber 24#|Royal Sundance - White Fiber 24#||Paper|||4.125|9.5|in||64.85
|Whitecliff Western 24#|Whitecliff Western 24#||Paper|||4.125|9.5|in||62.56
|Cougar Natural 24#|Cougar Natural 24#||Paper|||4.125|9.5|in||38.95
|Howard Linen - Moonstone Blue 24#|Howard Linen - Moonstone Blue 24#||Paper|||4.125|9.5|in||75
|24# Window White|24# Window White||Paper|||4.125|9.5|in||24.18
|24# Window - RIGHT|24# Window - RIGHT||Paper|||4.125|9.5|in||29.85
|24# Window C White - Security Tint|24# Window C White - Security Tint||Paper|||4.125|9.5|in||30.61
|24# Window D White|24# Window D White||Paper|||4.125|9.5|in||21.88
|24# Window H White|24# Window H White||Paper|||4.125|9.5|in||24.18
24# Window STARBURST|24# Window STARBURST Blue|24# Window STARBURST Blue|Blue|Paper|||4.125|9.5|in|1|57.88
24# Window STARBURST|24# Window STARBURST - Cherry|24# Window STARBURST - Cherry|Cherry|Paper|||4.125|9.5|in|1|57.88
24# Window STARBURST|24# Window STARBURST - Tangerine|24# Window STARBURST - Tangerine|Tangerine|Paper|||4.125|9.5|in|1|57.88
24# Window STARBURST|24# Window STARBURST - Lime|24# Window STARBURST - Lime|Lime|Paper|||4.125|9.5|in|1|57.88
24# Window STARBURST|24# Window STARBURST - Yellow|24# Window STARBURST - Yellow|Yellow|Paper|||4.125|9.5|in|1|57.88
|24# Window Kwik-Tac|24# Window Kwik-Tac||Paper|||4.125|9.5|in||64.11
|24# Window Security tint w/Kwik-Tac|24# Window Security tint w/Kwik-Tac||Paper|||4.125|9.5|in||68.19
|24# Postage Meter Window Secure Tint|24# Postage Meter Window Secure Tint||Paper|||4.125|9.5|in||38.72
|24# Postage Meter Window White - Digi Clear|24# Postage Meter Window White - Digi Clear||Paper|||4.125|9.5|in||32.59
|28# Cougar White|28# Cougar White||Paper|||4.125|9.5|in||36.95
|24# Window Health Insurance Envelope|24# Window Health Insurance Envelope||Paper|||4.5|9.5|in||45.43
|24# Regular White|24# Regular White||Paper|||4.5|10.375|in||38.73
|24# Regular White #12 Oversize|24# Regular White #12 Oversize||Paper|||4.75|11|in||44.19
|24# Regular White|24# Regular White||Paper|||3.5|6|in||24.59
|24# Remittance White|24# Remittance White||Paper|||3.5|6|in||29.95
|24# Regular White|24# Regular White||Paper|||3.625|6.5|in||18.68
|24# Regular Pres-Stik|24# Regular Pres-Stik||Paper|||3.625|6.5|in||39.53
|24# Regular Prism Gray|24# Regular Prism Gray|Gray|Paper|||3.625|6.5|in||32.13
